,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Type_Occupation,Family_Members,label,Age
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,0.0,Unknown,2,1,51.0
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-0.16054794520547946,Unknown,2,1,37.0
2,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-0.16054794520547946,Unknown,2,1,42.0
3,5009749,F,Y,N,0,166500.0,Commercial associate,Higher education,Married,House / apartment,-0.16054794520547946,Unknown,2,1,37.0
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-0.16054794520547946,Unknown,2,1,37.0
5,5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,-0.16054794520547946,Unknown,2,1,37.0
6,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-0.16054794520547946,Unknown,2,1,37.0
7,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,60.0
8,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.18575342465753425,Core staff,3,1,49.0
9,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-0.18575342465753425,Core staff,3,1,49.0
10,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.18575342465753425,Core staff,1,1,49.0
11,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-0.2745205479452055,Cooking staff,2,1,51.0
12,5018501,F,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-0.2745205479452055,Cooking staff,2,1,51.0
13,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-0.2745205479452055,Cooking staff,2,1,51.0
14,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,-0.2501369863013699,Unknown,3,1,24.0
15,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-0.06794520547945206,Laborers,2,1,46.0
16,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.06794520547945206,Laborers,2,1,46.0
17,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-0.6767123287671233,Sales staff,1,1,51.0
18,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-0.6767123287671233,Sales staff,1,1,51.0
19,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-0.45041095890410954,Unknown,2,1,51.0
20,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-1.1854794520547944,Unknown,1,1,35.0
21,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-0.4586301369863014,Laborers,2,1,32.0
22,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-0.29753424657534244,Accountants,2,1,48.0
23,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.2534246575342466,Sales staff,4,1,33.0
24,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-0.23397260273972603,Laborers,2,1,43.0
25,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-0.050684931506849315,Unknown,2,1,43.0
26,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,59.0
27,5024917,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,59.0
28,5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-0.9178082191780822,High skill tech staff,2,1,30.0
29,5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-0.1893150684931507,Managers,2,1,54.0
30,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-1.3068493150684932,Cleaning staff,2,1,32.0
31,5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,59.0
32,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-0.6558904109589041,Laborers,1,1,29.0
33,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.10520547945205479,Sales staff,3,1,43.0
34,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-0.9991780821917808,Unknown,2,1,35.0
35,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-0.4235616438356164,Drivers,2,1,55.0
36,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-0.2213698630136986,Drivers,2,1,57.0
37,5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,65.0
38,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.35205479452054794,Laborers,2,1,52.0
39,5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,-0.23424657534246576,Unknown,1,1,44.0
40,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-2.018904109589041,Unknown,4,1,43.0
41,5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.0,Unknown,1,1,63.0
42,5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.0,Unknown,1,1,63.0
43,5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.0,Unknown,1,1,63.0
44,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.6216438356164383,Low-skill Laborers,3,1,42.0
45,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-0.6216438356164383,Low-skill Laborers,3,1,42.0
46,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1.127123287671233,Accountants,3,1,51.0
47,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.3180821917808219,Laborers,3,1,30.0
48,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.3180821917808219,Laborers,3,1,30.0
49,5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1.9967123287671231,Laborers,2,1,50.0
50,5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1.9967123287671231,Laborers,2,1,50.0
51,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-0.04547945205479452,High skill tech staff,1,1,31.0
52,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.23726027397260271,Laborers,3,1,26.0
